Pregunta;Opción 1;Opción 2;Opción 3;Opción 4;Respuesta Correcta;Referencia
¿Qué elemento HTML5 se recomienda para mostrar una barra de herramientas con opciones o comandos?;<toolbar>;<command>;<menu>;<nav>;2;https://developer.mozilla.org/en-US/docs/Web/HTML/Element/menu
¿Qué elemento HTML5 ofrece la mejor semántica para contenido principal que se destaca dentro de una página?;<main>;<focus>;<important>;<highlight>;0;https://developer.mozilla.org/en-US/docs/Web/HTML/Element/main
¿Qué etiqueta de HTML5 se utiliza para la salida programática de un script o una calculadora?;<output>;<result>;<calc>;<script>;0;https://developer.mozilla.org/en-US/docs/Web/HTML/Element/output
¿Qué elemento HTML5 es adecuado para mostrar un temporizador o una cuenta regresiva en una página web?;<time>;<clock>;<timer>;<countdown>;0;https://developer.mozilla.org/en-US/docs/Web/HTML/Element/time
¿Qué atributo de HTML5 permite a un <input> aceptar múltiples tipos de archivos para cargar?;multi;files;accept;multiple;3;https://developer.mozilla.org/en-US/docs/Web/HTML/Element/input/file
¿Qué elemento HTML5 es el más adecuado para encerrar un grupo de introducciones o comandos?;<fieldset>;<group>;<set>;<section>;0;https://developer.mozilla.org/en-US/docs/Web/HTML/Element/fieldset
¿Qué nuevo tipo de documento se introduce con HTML5 para una mejor semántica?;<!DOCTYPE html>;<!DOCTYPE html5>;<!DOCTYPE new>;<!DOCTYPE web>;0;https://developer.mozilla.org/en-US/docs/Glossary/Doctype
¿Qué etiqueta HTML5 se utiliza para marcar datos de tiempo (como fecha y hora) en un documento?;<datetime>;<time>;<date>;<timestamp>;1;https://developer.mozilla.org/en-US/docs/Web/HTML/Element/time
¿Cuál atributo HTML5 indica que el script se debe cargar en el orden en que aparece en el documento?;defer;async;order;sequence;0;https://developer.mozilla.org/en-US/docs/Web/HTML/Element/script
¿Qué elemento HTML5 se usa específicamente para contener controles de formulario?;<formarea>;<form>;<inputarea>;<controls>;1;https://developer.mozilla.org/en-US/docs/Web/HTML/Element/form
¿Qué etiqueta HTML5 es útil para agrupar opciones dentro de un elemento <select>?;<group>;<optgroup>;<optiongroup>;<selectgroup>;1;https://developer.mozilla.org/en-US/docs/Web/HTML/Element/optgroup
¿Qué atributo HTML5 permite que un elemento <script> se ejecute después de que la página se haya parseado?;async;defer;postparse;load;1;https://developer.mozilla.org/en-US/docs/Web/HTML/Element/script
¿Cuál es el elemento HTML5 utilizado para representar una operación matemática?;<math>;<calculate>;<formula>;<equation>;0;https://developer.mozilla.org/en-US/docs/Web/MathML/Element/math
¿Qué atributo de HTML5 especifica el encoding de caracteres de la página?;charset;encoding;utf8;meta;0;https://developer.mozilla.org/en-US/docs/Web/HTML/Element/meta
¿Cuál es el propósito del atributo "formaction" en un elemento <input>?;Define dónde enviar los datos del formulario al ser sometido;Especifica una acción JavaScript al hacer clic;Determina el tipo de respuesta del servidor;Actúa como un identificador de formulario;0;https://developer.mozilla.org/en-US/docs/Web/HTML/Element/input
¿Qué elemento HTML5 sirve como contenedor para contenido externo o un plugin?;<embed>;<plugin>;<iframe>;<external>;0;https://developer.mozilla.org/en-US/docs/Web/HTML/Element/embed
¿Qué elemento HTML5 define un control que permite a los usuarios elegir entre un conjunto de opciones predefinidas?;<choose>;<select>;<option>;<pick>;1;https://developer.mozilla.org/en-US/docs/Web/HTML/Element/select
¿Qué atributo de HTML5 hace que un campo de entrada sea no editable?;static;fixed;readonly;lock;2;https://developer.mozilla.org/en-US/docs/Web/HTML/Element/input
¿Qué elemento HTML5 es usado para agrupar encabezados de cualquier nivel para crear secciones en el documento?;<headergroup>;<headerset>;<header>;<headings>;2;https://developer.mozilla.org/en-US/docs/Web/HTML/Element/header
¿Cuál es el propósito del atributo "pattern" en un elemento <input>?;Definir un patrón de validación para el campo de entrada;Establecer un patrón de diseño;Crear un patrón de colores;Generar un patrón de comportamiento;0;https://developer.mozilla.org/en-US/docs/Web/HTML/Element/input
¿Qué elemento HTML5 se usa para especificar un grupo de comandos que un usuario puede realizar en una aplicación web?;<commands>;<menu>;<action>;<taskbar>;1;https://developer.mozilla.org/en-US/docs/Web/HTML/Element/menu
¿Qué atributo de HTML5 permite especificar que un campo de entrada debe ser un número dentro de un rango específico?;number;range;minmax;step;1;https://developer.mozilla.org/en-US/docs/Web/HTML/Element/input/range
¿Qué elemento HTML5 se usa para representar un control de entrada que proporciona un menú de sugerencias?;<datalist>;<suggestions>;<autocomplete>;<inputlist>;0;https://developer.mozilla.org/en-US/docs/Web/HTML/Element/datalist
¿Qué atributo HTML5 se utiliza para especificar que la salida de un campo de formulario debe ser visible para el usuario?;visible;showoutput;display;formtarget;1;https://developer.mozilla.org/en-US/docs/Web/HTML/Element/output
¿Qué elemento HTML5 se utiliza para marcar texto que debe ser renderizado como subíndice?;<sub>;<lower>;<down>;<index>;0;https://developer.mozilla.org/en-US/docs/Web/HTML/Element/sub
¿Qué elemento HTML5 es mejor para marcar texto destacado para propósitos tipográficos?;<mark>;<highlight>;<emphasize>;<strong>;0;https://developer.mozilla.org/en-US/docs/Web/HTML/Element/mark
¿Qué atributo de HTML5 permite que un script se ejecute solo una vez que el documento haya sido completamente parseado?;async;defer;once;parse-complete;1;https://developer.mozilla.org/en-US/docs/Web/HTML/Element/script
¿Cuál es el propósito de la etiqueta <datalist> en HTML5?;Definir un conjunto de opciones predefinidas para otros controles;Contener datos temporales;Organizar listas de datos;Almacenar información oculta;0;https://developer.mozilla.org/en-US/docs/Web/HTML/Element/datalist
