Pregunta;Opción 1;Opción 2;Opción 3;Opción 4;Respuesta Correcta
¿Qué artículo de la Constitución Española establece el derecho a la negociación colectiva laboral?;Artículo 37;Artículo 38;Artículo 39;Artículo 40;0
¿Qué artículo de la Constitución Española establece que los poderes públicos mantendrán un régimen público de Seguridad Social?;Artículo 40;Artículo 41;Artículo 42;Artículo 43;1
¿Qué título de la Constitución Española regula la reforma constitucional?;Título X;Título XI;Título XII;Título XIII;0
¿Qué artículo de la Constitución Española establece que los españoles tienen derecho a una vivienda digna?;Artículo 47;Artículo 48;Artículo 49;Artículo 50;0
¿Qué artículo de la Constitución Española establece que los poderes públicos garantizarán la conservación y promoverán el enriquecimiento del patrimonio histórico, cultural y artístico de los pueblos de España y de los bienes que lo integran, cualquiera que sea su régimen jurídico y su titularidad?;Artículo 46;Artículo 47;Artículo 48;Artículo 49;1
¿Qué título de la Constitución Española regula las relaciones laborales?;Título I;Título II;Título III;Título IV;3
¿Qué título de la Constitución Española regula el Poder Judicial?;Título VI;Título VII;Título VIII;Título IX;0
¿Qué título de la Constitución Española regula la Corona?;Título III;Título IV;Título V;Título VI;0
¿Qué artículo de la Constitución Española establece que los españoles tienen el derecho a la protección de la salud?;Artículo 41;Artículo 42;Artículo 43;Artículo 44;1
¿Qué artículo de la Constitución Española establece que la ley regulará el ejercicio de los derechos y libertades?;Artículo 50;Artículo 51;Artículo 52;Artículo 53;3
¿Qué título de la Constitución Española regula el Tribunal Constitucional?;Título IX;Título X;Título XI;Título XII;0
¿Qué título de la Constitución Española regula las comunidades autónomas?;Título VIII;Título IX;Título X;Título XI;0
¿Qué título de la Constitución Española regula la reforma de la Constitución?;Título X;Título XI;Título XII;Título XIII;0
¿Qué artículo de la Constitución Española establece que el Gobierno debe someterse a control parlamentario?;Artículo 108;Artículo 109;Artículo 110;Artículo 111;0
¿Qué título de la Constitución Española regula la economía y la hacienda?;Título VII;Título VIII;Título IX;Título X;0
¿Qué título de la Constitución Española regula las relaciones laborales?;Título I;Título II;Título III;Título IV;3
¿Qué título de la Constitución Española regula el Defensor del Pueblo?;Título VIII;Título IX;Título X;Título XI;1
¿Qué título de la Constitución Española regula las relaciones laborales?;Título I;Título II;Título III;Título IV;3
¿Qué título de la Constitución Española regula el Poder Judicial?;Título VI;Título VII;Título VIII;Título IX;0
¿Qué título de la Constitución Española regula la Corona?;Título III;Título IV;Título V;Título VI;0
¿Qué artículo de la Constitución Española establece que los españoles tienen el derecho a la protección de la salud?;Artículo 41;Artículo 42;Artículo 43;Artículo 44;1
¿Qué artículo de la Constitución Española establece que la ley regulará el ejercicio de los derechos y libertades?;Artículo 50;Artículo 51;Artículo 52;Artículo 53;3
¿Qué título de la Constitución Española regula el Tribunal Constitucional?;Título IX;Título X;Título XI;Título XII;0
¿Qué título de la Constitución Española regula las comunidades autónomas?;Título VIII;Título IX;Título X;Título XI;0
¿Qué título de la Constitución Española regula la reforma de la Constitución?;Título X;Título XI;Título XII;Título XIII;0
¿Qué artículo de la Constitución Española establece que el Gobierno debe someterse a control parlamentario?;Artículo 108;Artículo 109;Artículo 110;Artículo 111;0
¿Qué título de la Constitución Española regula la economía y la hacienda?;Título VII;Título VIII;Título IX;Título X;0
¿Qué título de la Constitución Española regula las relaciones laborales?;Título I;Título II;Título III;Título IV;3
¿Qué título de la Constitución Española regula el Defensor del Pueblo?;Título VIII;Título IX;Título X;Título XI;1
