Pregunta;Opción 1;Opción 2;Opción 3;Opción 4;Respuesta Correcta;Referencia
¿Qué es @firma?;Un portal de compra online;Una plataforma de firma electrónica y validación de certificados;Un sistema de encriptación de correos electrónicos;Un portal de noticias;1;https://administracionelectronica.gob.es/ctt/afirma
¿Para qué se utiliza el portal "Tu Seguridad Social"?;Para acceder a noticias de seguridad;Para gestionar prestaciones y servicios de la Seguridad Social;Para presentar la declaración de la renta;Para realizar trámites de extranjería;1;https://sede-tu.seg-social.gob.es/
¿Qué es el Punto de Acceso General (PAG)?;Un portal de compras del gobierno;Un punto único de acceso a servicios electrónicos de las Administraciones Públicas;Un portal de empleo;Un sistema de gestión de citas médicas;1;https://administracion.gob.es/
¿Cuál es el uso principal del DNI electrónico?;Acceso a redes sociales;Pago de impuestos;Identificación y firma electrónica segura;Gestión de cuentas bancarias;2;https://www.dnielectronico.es/
¿Qué portal permite la consulta de multas de tráfico y otros trámites de la Dirección General de Tráfico (DGT)?;eTráfico;DGT Electrónica;Sede Electrónica de la DGT;Portal del Conductor;2;https://sede.dgt.gob.es/
¿Cuál es la finalidad de la plataforma Carpeta Ciudadana?;Ofrecer servicios de entretenimiento;Gestionar datos personales y trámites administrativos;Realizar compras online;Acceder a redes sociales;1;https://sede.administracion.gob.es/carpeta/clave.htm
¿Qué es CERES?;Un sistema de pago electrónico;Una entidad de certificación electrónica;Un portal de compra online;Una red social;1;https://www.sede.fnmt.gob.es/ceres
¿Para qué sirve el portal "Notificaciones Electrónicas"?;Para enviar correos electrónicos;Para recibir notificaciones oficiales electrónicamente;Para acceder a redes sociales;Para hacer llamadas telefónicas;1;https://notificaciones.060.es/
¿Qué es el servicio Cl@ve PIN?;Un sistema de pago;Un sistema de identificación y firma electrónica mediante un PIN temporal;Un portal de empleo;Un sistema de seguridad bancaria;1;https://clave.gob.es/
¿Cuál es el portal principal para la gestión de trámites con la Agencia Tributaria?;eImpuestos;Portal Fiscal;Sede Electrónica de la Agencia Tributaria;Hacienda Electrónica;2;https://www.agenciatributaria.gob.es/
¿Qué es el INEbase?;Un sistema de pago;Un portal de estadísticas y datos del Instituto Nacional de Estadística;Un portal de compra online;Una red social;1;https://www.ine.es/inebmenu/
¿Cuál es el portal de la Administración Electrónica para la gestión de becas y ayudas al estudio?;eBecas;Portal de Becas;Sede Electrónica del Ministerio de Educación;Portal del Estudiante;2;https://sede.educacion.gob.es/
¿Qué es el portal "060"?;Un sistema de pago de impuestos;Un punto único de acceso a información y servicios de las Administraciones Públicas;Un portal de empleo;Un sistema de gestión de citas médicas;1;https://www.060.es/
¿Para qué se utiliza el portal "Red.es"?;Para acceder a noticias de actualidad;Para gestionar las telecomunicaciones y la sociedad de la información en España;Para presentar la declaración de la renta;Para realizar trámites de extranjería;1;https://www.red.es/
¿Qué es el SEPE?;Un sistema de pago;El Servicio Público de Empleo Estatal;Un portal de compra online;Una red social;1;https://www.sepe.es/
¿Cuál es el portal principal para la gestión de trámites con la Agencia Estatal de Administración Tributaria (AEAT)?;eImpuestos;Portal Fiscal;Sede Electrónica de la AEAT;Hacienda Electrónica;2;https://www.agenciatributaria.gob.es/
¿Qué es la FNMT?;Un sistema de pago electrónico;La Fábrica Nacional de Moneda y Timbre, que emite certificados digitales;Un portal de compra online;Una red social;1;https://www.sede.fnmt.gob.es/
¿Para qué se utiliza el portal "SARA"?;Para acceder a noticias de actualidad;Para la interconexión de redes de las Administraciones Públicas;Para presentar la declaración de la renta;Para realizar trámites de extranjería;1;https://administracionelectronica.gob.es/
¿Qué es el portal "Geiser"?;Un sistema de pago electrónico;Un sistema de gestión de registros y comunicaciones interadministrativas;Un portal de compra online;Una red social;1;https://administracionelectronica.gob.es/
¿Cuál es la finalidad del portal "AGE"?;Ofrecer servicios de entretenimiento;Gestionar datos personales y trámites administrativos de la Administración General del Estado;Realizar compras online;Acceder a redes sociales;1;https://www.administracion.gob.es/
